name;id;nationality;birthday;miles;seat-type;column;row;preference-type
Rachel Rodriguez;99221325;Per�;29/12/2008;4734;0;D;17;0
Michael Watts;31004332;Camboya;22/04/1997;2004;0;D;18;0
Joshua Montgomery;62189798;Georgia;7/08/1947;11177;0;D;19;0
Ronald Quinn;49199342;Afganist�n;1/05/1948;0;0;D;20;0
Adrian Bond;55943048;Per�;20/04/1998;6698;1;E;1;0
Martin Ramirez;73606767;Chile;15/10/1998;5836;1;E;2;1
Amanda Alvarez;62119484;Islas Pitcairn;28/02/1961;16872;1;E;3;0
James Perkins;90053400;Gab�n;25/04/1948;29808;0;E;4;0
Dustin Mccormick;74933053;Filipinas ;13/12/1957;25393;0;E;5;0
Natalie Murray;56081379;Estados Unidos;1/08/2008;5166;0;E;6;0
Kimberly Williams;40079596;Corea del Norte;27/02/1986;4808;0;E;7;0
Jennifer Henderson;30609348;Angola;27/06/1950;2231;0;E;8;0
Cynthia Hall;20440958;Rep�blica Democr�tica del Congo;9/02/1960;27287;0;E;9;0
Amber Parker;35554604;Gambia;7/04/1952;17472;0;E;10;0
Kristen Baker;30957768;Ciudad del Vaticano;6/04/2006;0;0;E;11;0
Courtney Potter;40375290;But�n;20/11/1958;19040;0;E;12;0
Regina Castro;74166820;Ciudad del Vaticano;20/03/1965;10602;0;E;13;0
Kendra Garcia;80122266;Lesoto;29/11/1995;28410;0;E;14;0
Kathryn Daniels;17426510;Corea del Norte;25/11/1994;6969;0;E;15;0
Jason Evans;16082590;Angola;8/02/2005;639;0;E;16;0
Alexander Bryant;67858898;Tailandia;5/01/1995;7263;0;E;17;0
Patricia Moore;56923500;Angola;2/03/1962;4852;0;E;18;0
Bryan Silva;70558729;M�naco;21/08/1979;8588;0;E;19;0
William Bishop;97313370;Vietnam;17/11/1958;27064;0;E;20;0
Scott Rivera;38967806;Libia;21/02/1966;21924;1;F;1;0
John Stewart;39219419;Estonia;27/07/2002;6561;1;F;2;0
Holly Davidson;61465384;N�ger;23/02/1947;0;1;F;3;0
Debra Smith;23703008;Gambia;2/03/1997;947;0;F;4;0
Jasmine Mendez;93343698;Andorra;21/10/1979;16186;0;F;5;0
Allison Steele;91681931;B�lgica;11/11/1960;16884;0;F;6;0
Kevin Rosales;56104690;Ant�rtida ;29/08/1993;10134;0;F;7;0
Dan Maynard;91512383;Siria;27/02/2007;7444;0;F;8;0
Benjamin Kelley;83864350;Italia;22/02/1975;4846;0;F;9;0
Jonathan White;20322045;Luxemburgo;12/07/2007;13100;0;F;10;0
Jennifer Bradford;51622967;Islas Malvinas;14/01/1960;8782;0;F;11;0
Robert Ross;77362309;Las;17/11/2005;0;0;F;12;0
Jeffrey Jackson;38909036;Portugal;24/05/1972;2909;0;F;13;0
Christopher Burke;55072522;Pa�ses Bajos;4/02/1948;0;0;F;14;0
Ana Richard;22477009;Rep�blica Dominicana;20/06/1991;7569;0;F;15;0
Tommy Miller;17472483;T�nez;14/04/1977;9735;0;F;16;0
Mark Green DDS;48034437;Sud�frica;11/06/1953;8811;0;F;17;0
Lisa Dawson;17363298;Irak;7/02/1979;8524;0;F;18;0
David Phillips;29251672;Argelia;5/05/1950;6552;0;F;19;0
Tamara Rowe;67656450;Islas Malvinas;15/08/2006;15951;0;F;20;0
Crystal Vaughn;75586170;Martinica;14/05/1985;0;1;G;1;0
Cynthia Scott;93920432;Namibia;4/11/1963;8426;1;G;2;1
Rose Olson;52881090;Estados Unidos;16/11/2003;28488;1;G;3;0
Tyler Harris;83391695;Guayana Francesa;6/06/1972;22497;0;G;4;0
Justin Moore;50072554;Kazajist�n;7/11/1960;3882;0;G;5;0
Donald Sanchez;83469402;Ir�n;8/02/1980;4448;0;G;6;0
Albert Vaughn;72923841;Polonia;29/09/1963;283;0;G;7;0
James Brown;16351626;Israel;15/01/1962;0;0;G;8;0
Kenneth Stevenson;51023086;Dominica;3/02/1980;17195;0;G;9;0
Christine Martin;69289383;Surinam;3/11/2002;22954;0;G;10;0
Shelby Hunt;99727350;Chile;23/02/1979;12333;0;G;11;0
Richard Hayes;20608113;Islas Cocos;3/10/2001;4228;0;G;12;0
John Smith;61692777;Suiza;9/11/1963;13745;0;G;13;0
Scott Weber;29596805;Hungr�a;1/09/1982;0;0;G;14;0
Cassandra Frost;36691623;Islas menores  de EE.UU.;7/10/2006;5263;0;G;15;0
Diane Conner;56835114;Ucrania;18/01/1960;14574;0;G;16;0
Elijah Fisher;10134697;Isla de Navidad;19/06/2005;20528;0;G;17;0
Jodi Burgess;45091020;Brasil;13/01/1957;0;0;G;18;0
Brandi Becker;42450932;Palaos;20/12/1968;26008;0;G;19;0
Angela Ramos;61942280;Costa Rica;21/06/1999;11407;0;G;20;0
Dawn Burnett;50803792;Jordania;21/04/1993;17057;1;H;1;0
Latoya Kelly;81463419;Hait�;30/12/1955;11054;1;H;2;0
Steven Ross;80898358;Bulgaria;25/08/1963;15573;1;H;3;1
Sarah Walker;18189243;Kuwait;11/11/2009;13082;0;H;4;0
Rebecca Obrien;24803822;Maldivas;2/08/1946;17100;0;H;5;0
Cody Prince;67404572;Guyana;12/05/2002;23334;0;H;6;0
Darryl Elliott;83776331;Bahamas;3/11/1974;0;0;H;7;0
Kristin Briggs;97713037;Mal�;5/10/1971;25779;0;H;8;0
Mary Grant;78597924;Angola;3/02/1984;0;0;H;9;0
Fernando Moss;79920609;Singapur;8/03/1960;14189;0;H;10;0
Jacqueline Price;86754610;Singapur;8/03/1998;0;0;H;11;0
Sarah Harris;15908182;Turkmenist�n;2/10/1960;29258;0;H;12;0
Melanie Hernandez;73133098;Nigeria;4/02/1963;9680;0;H;13;0
Arthur Moore;46950416;Tokelau;20/11/1996;13109;0;H;14;0
Richard Kaiser;19120871;Zambia;1/03/1958;25557;0;H;15;0
Jillian Henderson;14796399;Costa de Marfil;18/07/1978;16804;0;H;16;0
Jessica Ellis;44385889;Vietnam;7/10/1998;0;0;H;17;0
Kimberly Young;45828535;La Federaci�n de Rusia ;27/12/1979;16337;0;H;18;0
Mitchell Spencer II;99954872;Ant�rtida ;15/08/1959;26129;0;H;19;0
Todd Brown;31092159;Pakist�n;28/08/1946;1010;0;H;20;0
